"dataset","method","method_label","family","backend","profile","timing_interface","n_runs","runtime","runtime_q1","runtime_q3","dataset_label","display_label"
"imagenet","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,326.833,326.189,327.8085,"ImageNet","RAPIDS cuML UMAP via R [CUDA]"
"mass41","rapids_cuml_umap_full","RAPIDS cuML UMAP via R","UMAP","cuda","cuda","R/reticulate",3,9.576,9.5345,9.6345,"mass41","RAPIDS cuML UMAP via R [CUDA]"
"COIL20","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,1.86406767833978,1.86252010241151,1.86959386244417,"COIL-20","RAPIDS cuML UMAP direct [CUDA]"
"FashionMNIST","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,2.60256805364043,2.59907742682844,2.60710952151567,"Fashion-MNIST","RAPIDS cuML UMAP direct [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,197.748181656934,196.814913364127,197.921184864827,"FlowRepository","RAPIDS cuML UMAP direct [CUDA]"
"MNIST","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,2.56984229385853,2.56647183792666,2.57658606069162,"MNIST","RAPIDS cuML UMAP direct [CUDA]"
"Macosko2015_retina","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,1.93199953064322,1.92589293187484,1.94116666447371,"Retina","RAPIDS cuML UMAP direct [CUDA]"
"MetRef","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,1.79930601175874,1.79632379487157,1.7995433663018,"MetRef","RAPIDS cuML UMAP direct [CUDA]"
"TabulaMuris","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,2.3722264803946,2.35661225859076,2.37270225817337,"Tabula Muris","RAPIDS cuML UMAP direct [CUDA]"
"USPS","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,1.75825468637049,1.75695904763416,1.77371809491888,"USPS","RAPIDS cuML UMAP direct [CUDA]"
"flow18","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,10.7477177632973,10.6208542222158,10.7515285941773,"flow18","RAPIDS cuML UMAP direct [CUDA]"
"imagenet","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,314.316558673978,313.249233205803,315.027831885032,"ImageNet","RAPIDS cuML UMAP direct [CUDA]"
"mass41","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct","UMAP","cuda","cuda","direct Python",3,8.14320587273687,8.14034624071791,8.15092507284134,"mass41","RAPIDS cuML UMAP direct [CUDA]"
